fazenda;gleba;pivo;variedade;data;macas_raw;capulho_raw;macas_por_m;capulho_por_m;peso;peso_fonte;est_calc;motivo
Celeiro 3;C3;80;FM 911 GLTP;2026-05-25;510;;85.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;80;FM 911 GLTP;2026-05-25;495;;82.50;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;80;FM 911 GLTP;2026-05-25;470;;78.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;88;FM 911 GLTP;2026-05-25;479;;79.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;88;FM 911 GLTP;2026-05-25;545;;90.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;88;FM 911 GLTP;2026-05-25;485;;80.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;07;FM 911 GLTP;2026-05-25;625;;104.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;07;FM 911 GLTP;2026-05-25;512;;85.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;07;FM 911 GLTP;2026-05-25;490;;81.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;07;FM 911 GLTP;2026-05-25;506;;84.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;07;FM 911 GLTP;2026-05-25;604;;100.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;08;FM 911 GLTP;2026-05-25;531;;88.50;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;08;FM 911 GLTP;2026-05-25;544;;90.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;08;FM 911 GLTP;2026-05-25;523;;87.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;08;FM 911 GLTP;2026-05-25;556;;92.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;08;FM 911 GLTP;2026-05-25;573;;95.50;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BB;39;FM 911 GLTP;2026-05-25;520;;86.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BB;40;FM 911 GLTP;2026-05-25;565;;94.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;87;FM 911 GLTP;2026-05-25;492;;82.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;88;FM 911 GLTP;2026-05-25;518;;86.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;93;FM 911 GLTP;2026-05-25;551;;91.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;93;FM 911 GLTP;2026-05-25;526;;87.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;76;FM 911 GLTP;2026-05-26;523;;87.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;76;FM 911 GLTP;2026-05-26;492;;82.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BB;30;FM 911 GLTP;2026-05-26;554;;92.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BB;30;FM 911 GLTP;2026-05-26;515;;85.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BB;30;FM 911 GLTP;2026-05-26;490;;81.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;05;FM 911 GLTP;2026-05-27;582;;97.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;05;FM 911 GLTP;2026-05-27;585;;97.50;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;05;FM 911 GLTP;2026-05-27;566;;94.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;06;FM 911 GLTP;2026-05-27;498;;83.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;06;FM 911 GLTP;2026-05-27;507;;84.50;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1A;06;FM 911 GLTP;2026-05-27;512;;85.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;90;FM 911 GLTP;2026-05-27;524;;87.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;90;FM 911 GLTP;2026-05-27;511;;85.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;90;FM 911 GLTP;2026-05-27;504;;84.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;81;FM 911 GLTP;2026-05-28;510;;85.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;81;FM 911 GLTP;2026-05-28;492;;82.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;81;FM 911 GLTP;2026-05-28;532;;88.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;84;FM 911 GLTP;2026-05-28;547;;91.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;84;FM 911 GLTP;2026-05-28;516;;86.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;84;FM 911 GLTP;2026-05-28;510;;85.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;85;FM 911 GLTP;2026-05-28;578;;96.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;85;FM 911 GLTP;2026-05-28;517;;86.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;P 77;FM 911 GLTP;2026-05-29;546;;91.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;P 77;FM 911 GLTP;2026-05-29;524;;87.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;P 77;FM 911 GLTP;2026-05-29;514;;85.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;35;FM 911 GLTP;2026-05-29;481;;80.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;35;FM 911 GLTP;2026-05-29;493;;82.17;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;35;FM 911 GLTP;2026-05-29;594;;99.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;37;FM 911 GLTP;2026-06-08;562;;93.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;37;FM 911 GLTP;2026-06-08;558;;93.00;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;36;FM 911 GLTP;2026-06-08;497;;82.83;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 3;C3;79;FM 911 GLTP;2026-06-08;566;;94.33;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 1;C1BA;26;FM 911 GLTP;2026-06-09;520;;86.67;;5.5;variedade;;falta componente: Nº Capulho
Celeiro 2;C2;48;FM 985 GLTP;2026-06-24;646;;107.67;;4.5;variedade;;falta componente: Nº Capulho
Celeiro 2;C2;68;FM 979 STP;2026-06-25;561;;93.50;;4.5;variedade;;falta componente: Nº Capulho